"XCoord;YCoord;FID;NOMDIS;NOMBRE;COD_DIS;COD_DIS_TX;BARRIO_MAY;COD_DISBAR;COD_BAR;NUM_BAR;BARRIO_MT;COD_DISB;AREA_M2"
"440880,15208912;4474035,57746881;54;Centro;Cortes;1;01;CORTES;13;013;3;CORTES;1-3;591874,121948"
"440226,84420960;4474314,56441295;55;Centro;Sol;1;01;SOL;16;016;6;SOL;1-6;445300,822125"
"443534,93035451;4473931,01033313;56;Retiro;Estrella;3;03;ESTRELLA;33;033;3;ESTRELLA;3-3;1025524,320480"
"441870,66977073;4473905,68726770;57;Retiro;Jerónimos;3;03;JERONIMOS;35;035;5;JERÓNIMOS;3-5;1906397,625250"
"442791,79586309;4474469,27741232;58;Retiro;Ibiza;3;03;IBIZA;34;034;4;IBIZA;3-4;491968,908798"
"439417,79137426;4474110,87535250;59;Centro;Palacio;1;01;PALACIO;11;011;1;PALACIO;1-1;1469905,683640"
"447607,49728514;4474693,64296619;60;San Blas - Canillejas;Arcos;20;20;ARCOS;204;204;4;ARCOS;20-4;1305194,038290"
"442789,91189531;4475153,75271741;61;Salamanca;Goya;4;04;GOYA;42;042;2;GOYA;4-2;770293,653231"
"447234,34540825;4475241,33425098;62;San Blas - Canillejas;Amposta;20;20;AMPOSTA;203;203;3;AMPOSTA;20-3;370249,994462"
"440900,76249908;4475014,20811789;63;Centro;Justicia;1;01;JUSTICIA;14;014;4;JUSTICIA;1-4;739414,338038"
"441820,89789786;4475110,42955478;64;Salamanca;Recoletos;4;04;RECOLETOS;41;041;1;RECOLETOS;4-1;873144,652054"
"440020,84765918;4475244,24696459;65;Centro;Universidad;1;01;UNIVERSIDAD;15;015;5;UNIVERSIDAD;1-5;948027,077316"
"443691,26023910;4475116,48938338;66;Salamanca;Fuente del Berro;4;04;FUENTE DEL BERRO;43;043;3;FUENTE DEL BERRO;4-3;852575,751904"
"445079,49261481;4474850,80339197;67;Ciudad Lineal;Ventas;15;15;VENTAS;151;151;1;VENTAS;15-1;3198035,685370"
"447680,48368928;4475772,54425922;68;San Blas - Canillejas;Hellín;20;20;HELLIN;202;202;2;HELLÍN;20-2;550556,079332"
"439109,08468563;4475533,29369298;69;Moncloa - Aravaca;Argüelles;9;09;ARGÜELLES;92;092;2;ARGÜELLES;9-2;757530,926595"
"442676,66867663;4475927,64132048;70;Salamanca;Lista;4;04;LISTA;45;045;5;LISTA;4-5;520214,542952"
"446095,68310037;4475266,90054612;71;Ciudad Lineal;Pueblo Nuevo;15;15;PUEBLO NUEVO;152;152;2;PUEBLO NUEVO;15-2;2319216,422830"
"441959,55275052;4476104,29805650;72;Salamanca;Castellana;4;04;CASTELLANA;46;046;6;CASTELLANA;4-6;773385,198112"
"441174,99532628;4476032,05875010;73;Chamberí;Almagro;7;07;ALMAGRO;74;074;4;ALMAGRO;7-4;937940,694984"
"440530,85168035;4476037,28990673;74;Chamberí;Trafalgar;7;07;TRAFALGAR;73;073;3;TRAFALGAR;7-3;611878,110237"
"439947,55844705;4476214,59537660;75;Chamberí;Arapiles;7;07;ARAPILES;72;072;2;ARAPILES;7-2;578229,621477"
"439389,89445628;4476283,32181459;76;Chamberí;Gaztambide;7;07;GAZTAMBIDE;71;071;1;GAZTAMBIDE;7-1;506477,728583"
"445289,76053868;4476462,96390145;77;Ciudad Lineal;Quintana;15;15;QUINTANA;153;153;3;QUINTANA;15-3;723117,328149"
"446981,67208042;4476263,73732275;78;San Blas - Canillejas;Simancas;20;20;SIMANCAS;201;201;1;SIMANCAS;20-1;2276342,639950"
"443463,58452447;4476402,06147872;79;Salamanca;Guindalera;4;04;GUINDALERA;44;044;4;GUINDALERA;4-4;1602789,629460"
"444934,15771099;4476721,34498464;80;Ciudad Lineal;Concepción;15;15;CONCEPCION;154;154;4;CONCEPCIÓN;15-4;885910,750170"
